Monthly_Charge,Tenure_Months,Num_Support_Tickets,Plan_Type,Contract_Type,Customer_Feedback,Churn
64.21,39,5,Enterprise,One Year,Okay value.,0
91.83,3,1,Basic,One Year,Okay value.,0
52.39,44,6,Enterprise,One Year,Support is slow.,1
23.01,68,3,Pro,Two Year,Excellent features.,0
58.22,66,4,Enterprise,Month-to-Month,Horrible experience.,1
113.29,42,9,Pro,One Year,Keeps crashing.,1
137.84,44,9,Basic,Two Year,Excellent features.,0
56.0,62,2,Pro,One Year,Okay value.,0
130.52,37,4,Basic,Month-to-Month,Support is slow.,1
130.65,55,8,Enterprise,One Year,Excellent features.,0
91.18,33,3,Basic,Month-to-Month,I love it.,0
125.71,20,7,Enterprise,Month-to-Month,Okay value.,0
137.95,29,6,Enterprise,Month-to-Month,Okay value.,0
117.75,62,3,Enterprise,One Year,Excellent features.,0
48.04,69,9,Pro,One Year,Excellent features.,0
82.57,11,8,Basic,One Year,Support is slow.,1
109.71,67,6,Basic,Month-to-Month,Keeps crashing.,1
137.08,68,5,Basic,Month-to-Month,Keeps crashing.,1
102.99,32,6,Enterprise,Two Year,Support is slow.,1
53.58,62,3,Enterprise,One Year,Okay value.,0
147.87,5,9,Pro,One Year,Too expensive.,1
44.82,47,3,Pro,One Year,Okay value.,0
36.27,55,7,Basic,Month-to-Month,Horrible experience.,1
43.47,28,2,Pro,One Year,Okay value.,0
112.03,3,9,Enterprise,Two Year,Support is slow.,1
96.53,19,8,Pro,Month-to-Month,Great service!,0
125.29,38,6,Pro,Two Year,Too expensive.,1
103.78,54,5,Enterprise,Two Year,I love it.,0
73.08,53,8,Basic,Two Year,Too expensive.,1
131.12,60,8,Pro,One Year,Great service!,0
73.18,61,4,Pro,One Year,Okay value.,0
41.44,56,2,Enterprise,Two Year,Great service!,0
30.27,33,7,Pro,One Year,I love it.,0
68.74,27,3,Enterprise,Two Year,I love it.,0
65.0,72,8,Enterprise,One Year,Okay value.,0
93.73,42,7,Pro,Month-to-Month,Too expensive.,1
87.14,37,0,Basic,One Year,I love it.,0
120.2,44,1,Basic,Two Year,I love it.,0
53.43,1,2,Basic,Month-to-Month,Horrible experience.,1
128.14,44,6,Pro,One Year,Okay value.,0
74.63,17,0,Enterprise,Month-to-Month,Great service!,0
40.76,59,7,Enterprise,One Year,I love it.,0
99.62,43,8,Basic,Month-to-Month,Okay value.,0
49.31,9,8,Enterprise,One Year,Keeps crashing.,1
103.94,35,2,Enterprise,One Year,Great service!,0
37.4,40,2,Enterprise,Two Year,I love it.,0
124.51,40,2,Pro,Two Year,I love it.,0
67.93,53,1,Pro,Two Year,I love it.,0
106.1,71,6,Basic,Two Year,Keeps crashing.,1
146.58,32,4,Enterprise,One Year,Excellent features.,0
108.25,11,7,Basic,Two Year,Great service!,0
148.93,22,6,Pro,Two Year,Keeps crashing.,1
48.38,41,7,Pro,Two Year,Okay value.,0
47.73,12,1,Basic,One Year,Excellent features.,0
84.66,1,8,Basic,Two Year,Too expensive.,1
73.41,48,8,Enterprise,One Year,Horrible experience.,1
99.48,59,1,Pro,One Year,I love it.,0
63.59,40,5,Enterprise,One Year,Excellent features.,0
100.75,32,0,Pro,Two Year,I love it.,0
43.25,11,9,Basic,Month-to-Month,Horrible experience.,1
73.12,70,3,Enterprise,One Year,I love it.,0
78.16,6,2,Pro,Month-to-Month,Excellent features.,0
129.99,64,2,Pro,One Year,I love it.,0
48.49,3,3,Enterprise,One Year,I love it.,0
89.06,11,3,Enterprise,Two Year,I love it.,0
124.09,58,6,Pro,One Year,Great service!,0
110.18,57,10,Enterprise,One Year,Okay value.,0
116.97,49,8,Pro,One Year,Excellent features.,0
81.39,38,8,Enterprise,One Year,Too expensive.,1
136.67,49,5,Pro,Two Year,Okay value.,0
146.22,63,7,Basic,One Year,Okay value.,0
133.58,72,6,Enterprise,Two Year,Okay value.,0
67.93,51,4,Basic,Month-to-Month,Keeps crashing.,1
81.22,14,10,Basic,One Year,Keeps crashing.,1
105.79,60,10,Basic,Month-to-Month,Too expensive.,1
60.53,15,8,Basic,Month-to-Month,Support is slow.,1
144.91,50,1,Pro,One Year,Great service!,0
107.55,64,8,Pro,Month-to-Month,Excellent features.,0
78.08,23,4,Basic,One Year,Horrible experience.,1
100.9,51,9,Enterprise,Two Year,Excellent features.,0
41.16,19,6,Basic,One Year,Okay value.,0
84.99,34,9,Pro,One Year,I love it.,0
67.07,42,7,Pro,Month-to-Month,Support is slow.,1
39.04,5,4,Basic,One Year,I love it.,0
81.59,40,1,Basic,Month-to-Month,Okay value.,0
75.92,43,2,Basic,Month-to-Month,Excellent features.,0
59.71,47,6,Pro,One Year,Excellent features.,0
149.12,44,3,Pro,Month-to-Month,Great service!,0
85.15,31,0,Enterprise,One Year,Great service!,0
50.06,47,4,Basic,Two Year,I love it.,0
120.67,7,3,Enterprise,Month-to-Month,Excellent features.,0
52.84,36,7,Pro,Two Year,Great service!,0
27.17,29,0,Pro,Month-to-Month,Okay value.,0
116.81,11,0,Basic,One Year,Great service!,0
134.31,64,1,Pro,Two Year,Excellent features.,0
138.17,67,9,Basic,Month-to-Month,Okay value.,0
89.78,7,10,Pro,Month-to-Month,Support is slow.,1
47.24,25,10,Enterprise,Month-to-Month,Horrible experience.,1
49.38,5,7,Basic,Two Year,Too expensive.,1
97.38,27,8,Basic,Two Year,I love it.,0
94.36,63,4,Enterprise,Month-to-Month,Support is slow.,1
100.79,52,6,Enterprise,Month-to-Month,Horrible experience.,1
126.84,71,7,Enterprise,Two Year,Excellent features.,0
74.58,6,6,Basic,Two Year,Too expensive.,1
95.72,12,3,Pro,Month-to-Month,Okay value.,0
94.78,29,9,Pro,Month-to-Month,Keeps crashing.,1
136.01,49,1,Enterprise,One Year,I love it.,0
137.6,18,3,Pro,Month-to-Month,Keeps crashing.,1
79.45,9,3,Enterprise,One Year,Okay value.,0
21.64,1,6,Basic,One Year,Keeps crashing.,1
35.4,23,4,Pro,One Year,Too expensive.,1
88.48,16,4,Basic,Month-to-Month,Horrible experience.,1
119.22,65,2,Basic,Two Year,Okay value.,0
107.78,16,9,Enterprise,Two Year,Great service!,0
64.35,40,3,Enterprise,Month-to-Month,Great service!,0
72.34,64,0,Basic,Month-to-Month,Excellent features.,0
64.49,47,3,Pro,One Year,Great service!,0
139.98,63,6,Enterprise,Month-to-Month,Support is slow.,1
71.33,15,0,Enterprise,Month-to-Month,Keeps crashing.,1
104.49,4,3,Enterprise,Month-to-Month,Okay value.,0
145.84,7,6,Pro,Month-to-Month,Support is slow.,1
47.06,13,1,Basic,One Year,Okay value.,0
76.83,69,7,Pro,Two Year,Okay value.,0
23.6,18,4,Basic,One Year,Horrible experience.,1
144.91,25,4,Enterprise,Month-to-Month,Too expensive.,1
82.14,21,2,Enterprise,Month-to-Month,Too expensive.,1
39.57,54,6,Enterprise,One Year,Support is slow.,1
49.49,59,10,Pro,Two Year,Support is slow.,1
116.72,62,9,Pro,One Year,Great service!,0
83.9,47,1,Pro,Month-to-Month,I love it.,0
143.58,25,2,Basic,Two Year,Okay value.,0
120.31,24,0,Basic,Two Year,I love it.,0
129.19,46,4,Basic,Month-to-Month,Keeps crashing.,1
27.39,44,5,Enterprise,Month-to-Month,Keeps crashing.,1
68.61,9,8,Pro,One Year,Too expensive.,1
48.4,69,7,Basic,Two Year,Great service!,0
26.79,54,0,Enterprise,Two Year,Okay value.,0
139.72,18,1,Basic,Two Year,Okay value.,0
63.69,6,4,Enterprise,Month-to-Month,Support is slow.,1
34.07,38,6,Basic,One Year,Excellent features.,0
50.08,23,7,Pro,One Year,Support is slow.,1
109.52,55,8,Pro,Month-to-Month,Excellent features.,0
115.58,26,7,Basic,Two Year,Okay value.,0
140.75,44,0,Pro,Two Year,I love it.,0
138.55,71,10,Enterprise,Month-to-Month,Excellent features.,0
110.82,2,5,Basic,Month-to-Month,Too expensive.,1
136.95,13,9,Pro,Two Year,Too expensive.,1
94.18,37,10,Basic,Month-to-Month,Keeps crashing.,1
129.85,2,6,Pro,Two Year,Support is slow.,1
84.45,7,5,Pro,Month-to-Month,Horrible experience.,1
58.68,9,1,Enterprise,Two Year,I love it.,0
29.27,14,1,Basic,Month-to-Month,Horrible experience.,1
52.01,15,9,Basic,Month-to-Month,I love it.,0
73.88,1,6,Basic,One Year,Support is slow.,1
149.26,11,1,Pro,One Year,Great service!,0
47.37,33,9,Enterprise,Two Year,Horrible experience.,1
99.88,14,3,Pro,Two Year,I love it.,0
33.43,69,1,Pro,Two Year,Great service!,0
143.3,6,9,Pro,Two Year,Support is slow.,1
143.88,65,3,Basic,One Year,Great service!,0
105.14,51,8,Basic,Two Year,Great service!,0
127.71,18,9,Basic,Two Year,Okay value.,0
55.05,29,6,Enterprise,Month-to-Month,Horrible experience.,1
127.14,40,1,Pro,Month-to-Month,I love it.,0
105.29,18,4,Enterprise,Two Year,Too expensive.,1
96.91,27,7,Pro,Month-to-Month,Excellent features.,0
147.64,40,9,Enterprise,Two Year,Excellent features.,0
43.99,36,9,Basic,One Year,Excellent features.,0
117.14,26,9,Enterprise,Two Year,Excellent features.,0
98.04,26,7,Pro,Month-to-Month,Great service!,0
122.5,28,2,Basic,Month-to-Month,Horrible experience.,1
22.88,3,4,Basic,Month-to-Month,Support is slow.,1
28.71,22,0,Enterprise,Two Year,Excellent features.,0
118.8,49,5,Enterprise,Two Year,Great service!,0
42.32,43,7,Pro,Two Year,I love it.,0
99.66,60,1,Enterprise,One Year,Okay value.,0
91.02,55,2,Pro,Month-to-Month,I love it.,0
50.92,26,2,Enterprise,Month-to-Month,Okay value.,0
34.7,6,3,Pro,Two Year,I love it.,0
26.31,18,3,Pro,Two Year,I love it.,0
122.81,52,9,Enterprise,Two Year,Support is slow.,1
148.45,1,6,Basic,Two Year,Horrible experience.,1
39.32,14,2,Pro,Two Year,Horrible experience.,1
46.93,10,7,Basic,One Year,Great service!,0
69.0,51,10,Pro,One Year,I love it.,0
24.47,69,0,Enterprise,Two Year,Excellent features.,0
116.55,51,6,Basic,Two Year,Excellent features.,0
84.35,35,2,Pro,Two Year,Excellent features.,0
69.34,16,2,Enterprise,Two Year,I love it.,0
26.08,17,9,Pro,Two Year,Keeps crashing.,1
30.88,22,3,Pro,Month-to-Month,Horrible experience.,1
109.18,57,8,Basic,One Year,Great service!,0
95.25,13,4,Basic,One Year,Too expensive.,1
87.66,49,1,Pro,One Year,Okay value.,0
127.78,39,8,Enterprise,Month-to-Month,Horrible experience.,1
106.25,25,5,Pro,Two Year,Okay value.,0
118.79,47,3,Pro,Month-to-Month,I love it.,0
84.44,5,5,Pro,One Year,Keeps crashing.,1
56.85,1,4,Basic,Month-to-Month,Support is slow.,1
67.56,53,1,Enterprise,One Year,Excellent features.,0
112.68,70,3,Enterprise,Month-to-Month,I love it.,0
100.09,17,1,Enterprise,One Year,Great service!,0
86.86,44,10,Pro,Month-to-Month,Excellent features.,0
106.75,70,2,Pro,One Year,Okay value.,0
47.52,39,8,Enterprise,Month-to-Month,Support is slow.,1
101.38,12,1,Basic,One Year,Horrible experience.,1
125.19,71,7,Basic,Two Year,Okay value.,0
140.45,64,10,Enterprise,Two Year,Excellent features.,0
78.63,33,9,Enterprise,One Year,Okay value.,0
124.6,4,5,Basic,Two Year,Excellent features.,0
104.35,58,10,Enterprise,Two Year,Keeps crashing.,1
43.4,37,10,Basic,Two Year,Great service!,0
121.48,4,10,Basic,Month-to-Month,Horrible experience.,1
30.99,53,2,Basic,Month-to-Month,Great service!,0
50.12,49,10,Enterprise,Month-to-Month,Okay value.,0
69.98,6,2,Enterprise,Month-to-Month,Excellent features.,0
111.36,68,1,Pro,One Year,Great service!,0
47.75,71,2,Pro,Month-to-Month,Too expensive.,1
74.11,39,2,Enterprise,One Year,Excellent features.,0
74.24,55,2,Pro,Month-to-Month,I love it.,0
146.32,56,4,Pro,One Year,Support is slow.,1
68.96,44,3,Pro,One Year,I love it.,0
63.27,1,0,Basic,One Year,Okay value.,0
96.08,36,6,Basic,Month-to-Month,I love it.,0
89.73,43,6,Basic,One Year,Okay value.,0
113.73,27,9,Basic,One Year,I love it.,0
147.16,47,8,Pro,Two Year,Support is slow.,1
128.12,60,6,Pro,Month-to-Month,Excellent features.,0
133.8,41,8,Enterprise,Month-to-Month,Support is slow.,1
74.38,31,10,Enterprise,One Year,Okay value.,0
149.45,27,0,Pro,One Year,I love it.,0
140.34,58,7,Pro,Two Year,Horrible experience.,1
140.83,7,2,Basic,Two Year,I love it.,0
53.46,15,5,Basic,One Year,Too expensive.,1
112.94,3,9,Basic,Two Year,Support is slow.,1
143.64,60,8,Pro,One Year,Great service!,0
44.41,1,5,Enterprise,Month-to-Month,Too expensive.,1
116.92,68,7,Pro,One Year,Great service!,0
95.44,39,9,Pro,One Year,I love it.,0
47.67,52,7,Basic,Month-to-Month,Great service!,0
118.37,55,5,Pro,Month-to-Month,Great service!,0
117.25,64,9,Enterprise,Two Year,Excellent features.,0
118.24,36,3,Enterprise,One Year,Excellent features.,0
96.37,43,1,Enterprise,One Year,Okay value.,0
91.13,5,6,Basic,Two Year,Excellent features.,0
74.85,63,5,Enterprise,Month-to-Month,Horrible experience.,1
52.62,3,5,Pro,Two Year,Okay value.,0
26.25,42,5,Enterprise,Two Year,Excellent features.,0
104.32,46,5,Basic,One Year,Horrible experience.,1
69.1,68,5,Basic,Two Year,Excellent features.,0
117.6,33,1,Pro,Month-to-Month,Excellent features.,0
96.96,12,6,Pro,One Year,Keeps crashing.,1
60.95,68,0,Pro,Two Year,Great service!,0
97.86,48,8,Basic,Month-to-Month,Keeps crashing.,1
53.2,65,8,Enterprise,One Year,Okay value.,0
32.97,63,8,Basic,Two Year,I love it.,0
49.77,69,0,Enterprise,Two Year,Great service!,0
125.6,61,1,Pro,Month-to-Month,Okay value.,0
27.66,19,0,Basic,Month-to-Month,Too expensive.,1
100.93,71,9,Enterprise,Two Year,I love it.,0
76.0,23,1,Enterprise,One Year,Okay value.,0
136.56,20,8,Enterprise,Two Year,Keeps crashing.,1
50.05,20,8,Enterprise,Two Year,Great service!,0
33.44,12,8,Basic,Two Year,Excellent features.,0
28.17,8,8,Basic,One Year,Excellent features.,0
40.04,19,8,Enterprise,Two Year,Great service!,0
35.18,17,9,Basic,One Year,I love it.,0
94.99,33,6,Pro,Two Year,Too expensive.,1
72.99,24,2,Pro,Month-to-Month,Great service!,0
115.61,24,9,Basic,Two Year,I love it.,0
82.89,66,2,Enterprise,Month-to-Month,Horrible experience.,1
121.19,7,9,Enterprise,One Year,Too expensive.,1
70.58,72,0,Enterprise,One Year,Okay value.,0
149.92,2,5,Enterprise,Month-to-Month,I love it.,0
105.45,39,9,Pro,One Year,Too expensive.,1
142.1,15,0,Enterprise,Two Year,Excellent features.,0
118.3,4,9,Pro,Two Year,I love it.,0
74.38,61,4,Pro,Month-to-Month,Great service!,0
142.27,31,0,Enterprise,Two Year,Excellent features.,0
111.8,39,10,Basic,One Year,Excellent features.,0
29.13,48,9,Pro,Month-to-Month,I love it.,0
102.21,24,10,Pro,One Year,Support is slow.,1
116.83,9,6,Enterprise,Month-to-Month,Great service!,0
88.4,19,6,Enterprise,One Year,Okay value.,0
87.51,29,8,Pro,Two Year,Horrible experience.,1
114.13,15,5,Pro,Two Year,Too expensive.,1
92.02,37,4,Pro,Month-to-Month,Keeps crashing.,1
104.3,68,9,Pro,One Year,Keeps crashing.,1
109.25,18,2,Enterprise,One Year,I love it.,0
58.88,41,8,Pro,Month-to-Month,Okay value.,0
46.96,31,4,Pro,Month-to-Month,Too expensive.,1
143.96,30,2,Enterprise,Two Year,Okay value.,0
48.16,41,6,Basic,Month-to-Month,I love it.,0
135.66,53,1,Enterprise,One Year,Great service!,0
145.42,41,5,Basic,Month-to-Month,Horrible experience.,1
98.76,30,4,Basic,Two Year,Okay value.,0
28.28,2,3,Pro,Month-to-Month,Too expensive.,1
94.11,68,7,Pro,Two Year,I love it.,0
46.64,62,3,Enterprise,One Year,Excellent features.,0
73.29,30,6,Pro,Two Year,I love it.,0
77.02,38,9,Pro,Two Year,Keeps crashing.,1
34.37,17,2,Basic,Two Year,Too expensive.,1
37.87,31,8,Basic,Month-to-Month,Okay value.,0
96.53,68,5,Basic,Two Year,Okay value.,0
138.84,6,8,Pro,Two Year,Too expensive.,1
26.74,70,3,Pro,Month-to-Month,Excellent features.,0
93.89,48,3,Enterprise,Two Year,I love it.,0
42.7,55,1,Basic,One Year,Okay value.,0
143.87,31,8,Enterprise,Two Year,Excellent features.,0
142.91,70,9,Basic,Month-to-Month,Too expensive.,1
73.35,35,4,Pro,One Year,Okay value.,0
35.6,26,2,Pro,Two Year,Excellent features.,0
85.8,57,3,Basic,One Year,I love it.,0
132.17,38,4,Enterprise,Month-to-Month,Support is slow.,1
49.88,8,0,Basic,One Year,Great service!,0
103.94,6,6,Enterprise,Two Year,Great service!,0
60.23,15,3,Enterprise,Two Year,Excellent features.,0
81.94,39,5,Pro,Two Year,Excellent features.,0
104.23,21,9,Pro,One Year,Excellent features.,0
137.06,2,1,Basic,Two Year,Great service!,0
105.35,35,3,Enterprise,One Year,Great service!,0
100.66,33,0,Basic,Month-to-Month,Great service!,0
115.82,69,2,Enterprise,Two Year,Great service!,0
23.78,64,9,Pro,Two Year,Keeps crashing.,1
54.28,31,9,Enterprise,Month-to-Month,Too expensive.,1
20.12,32,4,Basic,Two Year,Okay value.,0
95.59,23,2,Enterprise,One Year,Excellent features.,0
44.81,44,6,Basic,One Year,Support is slow.,1
27.13,11,7,Enterprise,Two Year,I love it.,0
22.61,21,0,Pro,Two Year,Excellent features.,0
110.22,14,0,Enterprise,One Year,Great service!,0
56.31,4,4,Pro,Two Year,Great service!,0
98.0,38,2,Pro,One Year,I love it.,0
75.49,15,2,Basic,Two Year,Excellent features.,0
59.84,44,7,Enterprise,Two Year,I love it.,0
144.16,10,8,Pro,One Year,I love it.,0
37.36,67,1,Enterprise,One Year,Great service!,0
149.39,1,3,Pro,Two Year,Excellent features.,0
29.01,18,3,Pro,Month-to-Month,Keeps crashing.,1
136.51,59,4,Pro,Month-to-Month,I love it.,0
85.31,65,9,Enterprise,Two Year,Support is slow.,1
76.42,22,7,Enterprise,Two Year,Support is slow.,1
129.31,25,3,Enterprise,One Year,I love it.,0
32.72,40,4,Basic,One Year,Okay value.,0
64.62,9,2,Enterprise,One Year,I love it.,0
99.57,50,5,Enterprise,Two Year,Okay value.,0
59.9,56,7,Basic,One Year,Support is slow.,1
27.33,50,8,Basic,One Year,Too expensive.,1
68.03,33,8,Pro,Month-to-Month,I love it.,0
74.91,28,0,Pro,One Year,I love it.,0
81.66,42,6,Basic,Month-to-Month,Great service!,0
129.27,39,3,Pro,Month-to-Month,Okay value.,0
100.4,12,9,Basic,One Year,Okay value.,0
28.19,49,3,Basic,Month-to-Month,I love it.,0
53.22,42,4,Pro,Month-to-Month,I love it.,0
69.36,44,5,Pro,Month-to-Month,Keeps crashing.,1
99.68,5,3,Enterprise,Two Year,Excellent features.,0
134.09,43,1,Pro,Month-to-Month,I love it.,0
149.4,2,5,Basic,One Year,Excellent features.,0
35.02,7,8,Pro,Month-to-Month,Too expensive.,1
34.49,45,10,Pro,Two Year,I love it.,0
90.74,9,4,Enterprise,Two Year,Too expensive.,1
61.85,51,8,Basic,One Year,Great service!,0
97.68,43,9,Enterprise,Month-to-Month,Support is slow.,1
120.44,27,1,Basic,Month-to-Month,Great service!,0
121.69,7,0,Enterprise,One Year,Excellent features.,0
53.62,34,9,Pro,One Year,Too expensive.,1
35.15,66,8,Enterprise,Two Year,Great service!,0
34.29,32,7,Basic,Month-to-Month,Great service!,0
129.63,28,10,Enterprise,Two Year,Support is slow.,1
99.59,31,9,Pro,One Year,Excellent features.,0
40.52,34,3,Pro,Two Year,Okay value.,0
120.72,38,9,Enterprise,Month-to-Month,Support is slow.,1
35.04,9,4,Enterprise,Two Year,Support is slow.,1
66.12,12,5,Pro,One Year,Support is slow.,1
82.86,35,6,Basic,Month-to-Month,Too expensive.,1
120.99,58,0,Enterprise,Month-to-Month,Okay value.,0
116.6,61,1,Basic,One Year,Great service!,0
122.03,43,8,Enterprise,One Year,Okay value.,0
86.32,14,8,Basic,One Year,Great service!,0
41.12,56,8,Basic,Month-to-Month,Excellent features.,0
