Ticket_Price,Runtime_Mins,Genre,Director_Fame,Review_Text,Sentiment
24.21,127,Sci-Fi,2,A triumphant achievement.,Positive
24.36,157,Action,9,Terrible waste of time.,Negative
12.02,124,Action,4,"It was fine, but a bit too long.",Neutral
22.94,163,Sci-Fi,6,Loved every second.,Positive
13.7,81,Action,1,Worst movie I have ever seen in my life.,Negative
12.49,131,Comedy,9,Absolutely awful script.,Negative
21.81,173,Horror,6,"It was fine, but a bit too long.",Neutral
10.94,160,Horror,4,Loved every second.,Positive
15.17,111,Horror,7,Loved every second.,Positive
12.04,148,Horror,10,Boring and predictable garbage.,Negative
22.42,127,Comedy,4,Absolutely awful script.,Negative
12.54,153,Horror,8,Absolutely awful script.,Negative
21.33,175,Comedy,3,Great acting and incredible plot.,Positive
15.61,92,Action,6,Worst movie I have ever seen in my life.,Negative
19.68,114,Sci-Fi,8,"It was fine, but a bit too long.",Neutral
17.56,118,Horror,5,Average popcorn flick.,Neutral
13.94,151,Sci-Fi,10,"Not great, not terrible.",Neutral
18.22,111,Comedy,7,Passable weekend watch.,Neutral
11.97,135,Horror,1,Boring and predictable garbage.,Negative
22.2,122,Drama,10,"It was fine, but a bit too long.",Neutral
21.92,100,Drama,10,Masterpiece of cinema.,Positive
14.51,106,Action,2,Great acting and incredible plot.,Positive
20.25,80,Drama,9,Boring and predictable garbage.,Negative
18.79,168,Comedy,6,Loved every second.,Positive
24.03,103,Drama,8,"It was fine, but a bit too long.",Neutral
15.38,97,Drama,5,Passable weekend watch.,Neutral
11.99,122,Comedy,5,Absolutely awful script.,Negative
10.4,147,Drama,10,"It was okay, nothing special.",Neutral
13.32,151,Drama,3,Loved every second.,Positive
20.74,173,Sci-Fi,5,"It was okay, nothing special.",Neutral
15.09,133,Action,6,A triumphant achievement.,Positive
13.36,167,Action,10,Absolutely awful script.,Negative
22.29,176,Sci-Fi,7,Passable weekend watch.,Neutral
15.3,99,Action,10,Average popcorn flick.,Neutral
15.15,148,Action,2,A triumphant achievement.,Positive
10.22,128,Comedy,1,Average popcorn flick.,Neutral
18.43,166,Comedy,9,Passable weekend watch.,Neutral
15.76,143,Comedy,6,Great acting and incredible plot.,Positive
10.18,111,Drama,5,Average popcorn flick.,Neutral
14.16,178,Horror,3,Absolutely awful script.,Negative
21.99,148,Comedy,3,Boring and predictable garbage.,Negative
10.31,97,Horror,3,Loved every second.,Positive
21.15,158,Horror,9,Terrible waste of time.,Negative
15.66,134,Sci-Fi,1,Passable weekend watch.,Neutral
22.47,95,Horror,7,Average popcorn flick.,Neutral
21.62,124,Horror,6,A triumphant achievement.,Positive
10.35,139,Horror,5,Loved every second.,Positive
11.21,112,Action,10,"It was okay, nothing special.",Neutral
11.52,163,Sci-Fi,1,Masterpiece of cinema.,Positive
16.94,171,Drama,4,Absolutely fantastic movie! Best I have seen.,Positive
19.41,98,Action,4,Absolutely fantastic movie! Best I have seen.,Positive
20.17,153,Comedy,7,Boring and predictable garbage.,Negative
22.6,81,Comedy,7,Loved every second.,Positive
18.85,173,Sci-Fi,9,Passable weekend watch.,Neutral
12.34,142,Comedy,9,"Not great, not terrible.",Neutral
19.84,162,Horror,9,Boring and predictable garbage.,Negative
20.29,155,Comedy,4,Absolutely fantastic movie! Best I have seen.,Positive
24.58,144,Comedy,10,A triumphant achievement.,Positive
16.16,154,Sci-Fi,1,"It was okay, nothing special.",Neutral
18.71,178,Action,9,Terrible waste of time.,Negative
23.9,99,Drama,6,Absolutely fantastic movie! Best I have seen.,Positive
14.4,120,Sci-Fi,8,Loved every second.,Positive
21.56,131,Sci-Fi,6,"It was fine, but a bit too long.",Neutral
20.61,114,Comedy,4,Great acting and incredible plot.,Positive
16.73,123,Drama,6,"It was okay, nothing special.",Neutral
18.98,82,Comedy,3,Masterpiece of cinema.,Positive
12.17,160,Horror,10,Great acting and incredible plot.,Positive
16.56,121,Comedy,3,"It was okay, nothing special.",Neutral
18.15,145,Horror,3,Worst movie I have ever seen in my life.,Negative
13.48,83,Comedy,1,A triumphant achievement.,Positive
19.23,162,Horror,2,Absolutely awful script.,Negative
18.75,142,Drama,1,Fell asleep halfway through.,Negative
20.37,105,Drama,9,Great acting and incredible plot.,Positive
13.69,115,Sci-Fi,1,Fell asleep halfway through.,Negative
12.56,81,Comedy,1,Absolutely fantastic movie! Best I have seen.,Positive
14.84,129,Horror,3,Average popcorn flick.,Neutral
15.95,84,Drama,6,Terrible waste of time.,Negative
21.92,84,Comedy,3,Average popcorn flick.,Neutral
11.94,134,Drama,4,"It was fine, but a bit too long.",Neutral
20.3,165,Horror,2,Boring and predictable garbage.,Negative
24.57,142,Comedy,9,A triumphant achievement.,Positive
12.78,106,Comedy,8,Boring and predictable garbage.,Negative
22.89,139,Horror,1,Masterpiece of cinema.,Positive
16.21,174,Sci-Fi,1,Terrible waste of time.,Negative
17.13,132,Sci-Fi,1,Masterpiece of cinema.,Positive
15.43,140,Sci-Fi,9,Passable weekend watch.,Neutral
22.96,151,Horror,5,Fell asleep halfway through.,Negative
12.06,175,Action,4,"It was okay, nothing special.",Neutral
16.61,122,Horror,1,"Not great, not terrible.",Neutral
21.01,90,Action,5,Masterpiece of cinema.,Positive
12.76,134,Comedy,1,Passable weekend watch.,Neutral
19.25,159,Action,7,Masterpiece of cinema.,Positive
11.83,131,Sci-Fi,5,Worst movie I have ever seen in my life.,Negative
12.69,156,Sci-Fi,10,A triumphant achievement.,Positive
12.6,143,Sci-Fi,10,Passable weekend watch.,Neutral
13.98,101,Action,1,Boring and predictable garbage.,Negative
15.55,100,Sci-Fi,9,Boring and predictable garbage.,Negative
17.82,160,Action,1,Boring and predictable garbage.,Negative
20.4,88,Action,1,Worst movie I have ever seen in my life.,Negative
22.22,156,Comedy,1,Masterpiece of cinema.,Positive
12.83,113,Comedy,4,Absolutely fantastic movie! Best I have seen.,Positive
22.63,111,Horror,1,Great acting and incredible plot.,Positive
12.52,129,Comedy,4,Boring and predictable garbage.,Negative
13.43,138,Horror,3,Great acting and incredible plot.,Positive
19.32,107,Drama,5,Boring and predictable garbage.,Negative
14.3,137,Horror,3,Worst movie I have ever seen in my life.,Negative
17.06,117,Action,6,Boring and predictable garbage.,Negative
15.6,150,Sci-Fi,2,"Not great, not terrible.",Neutral
15.03,116,Action,1,Passable weekend watch.,Neutral
14.11,122,Comedy,3,A triumphant achievement.,Positive
23.52,171,Horror,3,A triumphant achievement.,Positive
23.41,113,Sci-Fi,7,"Not great, not terrible.",Neutral
24.34,147,Horror,7,Terrible waste of time.,Negative
23.34,108,Drama,9,Worst movie I have ever seen in my life.,Negative
11.16,160,Comedy,3,Fell asleep halfway through.,Negative
12.45,155,Drama,3,A triumphant achievement.,Positive
14.33,165,Drama,4,Fell asleep halfway through.,Negative
12.57,144,Sci-Fi,8,Average popcorn flick.,Neutral
21.15,151,Action,9,Worst movie I have ever seen in my life.,Negative
19.14,83,Horror,7,"Not great, not terrible.",Neutral
11.4,94,Action,4,Absolutely awful script.,Negative
24.64,159,Comedy,10,Fell asleep halfway through.,Negative
11.6,119,Horror,10,Boring and predictable garbage.,Negative
10.29,120,Horror,8,Absolutely awful script.,Negative
15.45,155,Horror,2,Terrible waste of time.,Negative
13.11,99,Horror,9,Terrible waste of time.,Negative
18.06,172,Comedy,3,"It was fine, but a bit too long.",Neutral
22.7,151,Sci-Fi,8,Terrible waste of time.,Negative
13.61,173,Drama,5,"It was okay, nothing special.",Neutral
12.53,111,Drama,3,"It was okay, nothing special.",Neutral
16.7,174,Horror,2,Average popcorn flick.,Neutral
10.99,153,Drama,1,"It was okay, nothing special.",Neutral
22.03,145,Comedy,4,Average popcorn flick.,Neutral
23.09,139,Comedy,8,Boring and predictable garbage.,Negative
13.05,112,Action,5,Absolutely fantastic movie! Best I have seen.,Positive
21.11,157,Comedy,8,A triumphant achievement.,Positive
23.43,163,Action,2,"It was fine, but a bit too long.",Neutral
21.54,127,Action,10,Loved every second.,Positive
14.45,178,Drama,10,Worst movie I have ever seen in my life.,Negative
22.82,164,Sci-Fi,4,Absolutely awful script.,Negative
24.71,85,Sci-Fi,2,Average popcorn flick.,Neutral
15.4,135,Drama,9,Absolutely fantastic movie! Best I have seen.,Positive
23.25,149,Comedy,7,Masterpiece of cinema.,Positive
18.17,157,Drama,1,Average popcorn flick.,Neutral
24.17,110,Sci-Fi,3,Passable weekend watch.,Neutral
10.39,168,Comedy,1,Worst movie I have ever seen in my life.,Negative
13.39,98,Action,1,"It was fine, but a bit too long.",Neutral
24.26,172,Sci-Fi,5,Passable weekend watch.,Neutral
19.75,104,Action,6,Average popcorn flick.,Neutral
23.08,130,Horror,1,Great acting and incredible plot.,Positive
13.32,98,Comedy,4,Average popcorn flick.,Neutral
19.33,92,Horror,3,"It was okay, nothing special.",Neutral
12.22,101,Drama,5,Terrible waste of time.,Negative
19.1,105,Action,8,Masterpiece of cinema.,Positive
10.83,89,Comedy,4,Absolutely awful script.,Negative
23.18,111,Comedy,3,"Not great, not terrible.",Neutral
11.38,160,Sci-Fi,8,Great acting and incredible plot.,Positive
22.85,170,Drama,4,Absolutely fantastic movie! Best I have seen.,Positive
10.49,175,Sci-Fi,6,"It was fine, but a bit too long.",Neutral
23.52,130,Drama,4,Passable weekend watch.,Neutral
14.77,177,Sci-Fi,6,Masterpiece of cinema.,Positive
19.74,131,Horror,4,Absolutely fantastic movie! Best I have seen.,Positive
13.68,149,Horror,8,Great acting and incredible plot.,Positive
16.09,109,Horror,8,Average popcorn flick.,Neutral
15.41,155,Horror,9,Fell asleep halfway through.,Negative
11.25,130,Horror,2,Terrible waste of time.,Negative
21.37,150,Drama,6,Worst movie I have ever seen in my life.,Negative
13.83,151,Drama,10,Worst movie I have ever seen in my life.,Negative
22.87,142,Action,2,"Not great, not terrible.",Neutral
17.16,85,Horror,1,Terrible waste of time.,Negative
22.49,149,Horror,5,Terrible waste of time.,Negative
16.58,129,Comedy,3,"It was fine, but a bit too long.",Neutral
24.63,164,Drama,1,A triumphant achievement.,Positive
19.31,177,Sci-Fi,9,Average popcorn flick.,Neutral
12.83,127,Drama,3,"It was fine, but a bit too long.",Neutral
15.17,111,Drama,1,Masterpiece of cinema.,Positive
14.13,161,Horror,2,Terrible waste of time.,Negative
19.32,164,Action,4,Passable weekend watch.,Neutral
19.8,159,Action,4,Average popcorn flick.,Neutral
19.01,82,Comedy,4,Fell asleep halfway through.,Negative
12.62,90,Sci-Fi,6,"Not great, not terrible.",Neutral
15.01,85,Sci-Fi,7,Boring and predictable garbage.,Negative
20.2,94,Horror,4,Loved every second.,Positive
24.44,105,Comedy,5,Boring and predictable garbage.,Negative
15.14,145,Drama,10,Average popcorn flick.,Neutral
17.4,166,Horror,10,"It was fine, but a bit too long.",Neutral
23.04,119,Drama,3,Loved every second.,Positive
14.84,138,Comedy,6,Absolutely fantastic movie! Best I have seen.,Positive
21.08,92,Horror,10,"Not great, not terrible.",Neutral
11.25,84,Drama,4,Average popcorn flick.,Neutral
13.88,101,Horror,3,Absolutely fantastic movie! Best I have seen.,Positive
12.64,85,Action,1,Masterpiece of cinema.,Positive
24.77,91,Horror,6,"Not great, not terrible.",Neutral
24.15,80,Horror,5,"It was fine, but a bit too long.",Neutral
22.06,179,Drama,5,Passable weekend watch.,Neutral
13.95,97,Drama,7,"It was fine, but a bit too long.",Neutral
18.42,142,Action,3,"It was okay, nothing special.",Neutral
24.33,130,Horror,7,Boring and predictable garbage.,Negative
20.98,136,Sci-Fi,10,Absolutely awful script.,Negative
22.42,83,Sci-Fi,8,"It was fine, but a bit too long.",Neutral
19.62,110,Drama,5,Loved every second.,Positive
16.49,156,Comedy,2,"It was fine, but a bit too long.",Neutral
14.97,131,Action,4,"Not great, not terrible.",Neutral
23.82,134,Horror,2,Worst movie I have ever seen in my life.,Negative
13.25,122,Action,4,Terrible waste of time.,Negative
22.83,173,Sci-Fi,4,Absolutely fantastic movie! Best I have seen.,Positive
10.87,99,Action,7,Terrible waste of time.,Negative
18.92,115,Comedy,1,Great acting and incredible plot.,Positive
23.28,86,Action,4,Worst movie I have ever seen in my life.,Negative
16.3,88,Sci-Fi,10,Average popcorn flick.,Neutral
11.36,156,Drama,3,Absolutely fantastic movie! Best I have seen.,Positive
10.31,80,Sci-Fi,10,Fell asleep halfway through.,Negative
18.86,152,Drama,8,"Not great, not terrible.",Neutral
13.03,116,Horror,9,"It was okay, nothing special.",Neutral
16.6,164,Action,6,Boring and predictable garbage.,Negative
16.88,100,Sci-Fi,4,"It was okay, nothing special.",Neutral
16.76,146,Action,10,"It was fine, but a bit too long.",Neutral
14.89,133,Horror,9,Worst movie I have ever seen in my life.,Negative
20.1,100,Sci-Fi,7,"Not great, not terrible.",Neutral
23.21,118,Horror,2,Worst movie I have ever seen in my life.,Negative
21.47,114,Action,6,"It was okay, nothing special.",Neutral
23.81,133,Action,2,"It was okay, nothing special.",Neutral
21.74,148,Sci-Fi,10,Fell asleep halfway through.,Negative
18.65,86,Drama,6,"It was okay, nothing special.",Neutral
23.27,104,Action,1,Boring and predictable garbage.,Negative
22.32,121,Drama,9,Terrible waste of time.,Negative
23.71,139,Action,9,A triumphant achievement.,Positive
18.73,119,Drama,2,Worst movie I have ever seen in my life.,Negative
14.97,169,Horror,10,A triumphant achievement.,Positive
24.4,159,Comedy,1,Absolutely awful script.,Negative
21.7,157,Action,3,Passable weekend watch.,Neutral
20.24,93,Action,1,Absolutely fantastic movie! Best I have seen.,Positive
19.97,156,Action,4,"It was fine, but a bit too long.",Neutral
13.82,177,Comedy,3,"Not great, not terrible.",Neutral
11.55,174,Horror,8,"It was okay, nothing special.",Neutral
21.81,124,Drama,10,"It was okay, nothing special.",Neutral
10.11,157,Sci-Fi,10,Boring and predictable garbage.,Negative
16.02,164,Sci-Fi,7,Absolutely awful script.,Negative
24.82,177,Sci-Fi,5,Absolutely fantastic movie! Best I have seen.,Positive
23.95,146,Drama,9,Loved every second.,Positive
14.5,171,Sci-Fi,10,Masterpiece of cinema.,Positive
11.51,151,Comedy,6,Boring and predictable garbage.,Negative
12.12,178,Action,2,Absolutely awful script.,Negative
23.25,83,Horror,10,Absolutely awful script.,Negative
12.18,112,Horror,8,Great acting and incredible plot.,Positive
24.96,142,Sci-Fi,4,Fell asleep halfway through.,Negative
24.6,161,Horror,6,Great acting and incredible plot.,Positive
11.86,146,Comedy,2,Absolutely fantastic movie! Best I have seen.,Positive
20.29,147,Sci-Fi,5,Average popcorn flick.,Neutral
23.92,116,Sci-Fi,7,Absolutely fantastic movie! Best I have seen.,Positive
22.69,98,Drama,9,"It was okay, nothing special.",Neutral
17.52,100,Horror,7,Passable weekend watch.,Neutral
15.7,92,Horror,5,Average popcorn flick.,Neutral
14.44,95,Horror,6,Worst movie I have ever seen in my life.,Negative
23.46,160,Drama,9,"It was okay, nothing special.",Neutral
13.18,143,Drama,7,Boring and predictable garbage.,Negative
17.85,129,Comedy,3,Worst movie I have ever seen in my life.,Negative
24.89,92,Comedy,6,Masterpiece of cinema.,Positive
17.15,99,Action,3,Absolutely fantastic movie! Best I have seen.,Positive
19.52,179,Sci-Fi,3,Masterpiece of cinema.,Positive
20.73,145,Action,10,A triumphant achievement.,Positive
18.03,135,Action,7,Great acting and incredible plot.,Positive
22.19,91,Action,10,Worst movie I have ever seen in my life.,Negative
24.52,143,Drama,9,Fell asleep halfway through.,Negative
13.99,144,Horror,7,Loved every second.,Positive
18.62,87,Comedy,7,Masterpiece of cinema.,Positive
13.0,123,Comedy,7,Fell asleep halfway through.,Negative
16.32,108,Action,9,"Not great, not terrible.",Neutral
12.37,100,Sci-Fi,7,Average popcorn flick.,Neutral
20.4,101,Horror,3,Fell asleep halfway through.,Negative
20.25,169,Drama,6,"It was okay, nothing special.",Neutral
10.2,137,Action,10,Great acting and incredible plot.,Positive
23.86,142,Action,1,Worst movie I have ever seen in my life.,Negative
18.16,112,Comedy,4,Terrible waste of time.,Negative
10.44,170,Action,9,Absolutely awful script.,Negative
23.14,156,Sci-Fi,10,Fell asleep halfway through.,Negative
19.81,136,Drama,9,Terrible waste of time.,Negative
10.14,122,Comedy,7,"Not great, not terrible.",Neutral
17.41,174,Comedy,8,Passable weekend watch.,Neutral
11.01,87,Comedy,10,Worst movie I have ever seen in my life.,Negative
14.87,153,Horror,8,"It was fine, but a bit too long.",Neutral
19.96,176,Comedy,10,Absolutely fantastic movie! Best I have seen.,Positive
18.96,170,Sci-Fi,7,Boring and predictable garbage.,Negative
13.68,112,Drama,1,"Not great, not terrible.",Neutral
19.42,147,Drama,3,Terrible waste of time.,Negative
14.24,152,Sci-Fi,10,"It was okay, nothing special.",Neutral
19.58,86,Sci-Fi,7,Masterpiece of cinema.,Positive
18.7,139,Sci-Fi,6,Loved every second.,Positive
21.35,171,Action,6,Absolutely awful script.,Negative
16.13,120,Horror,7,Absolutely fantastic movie! Best I have seen.,Positive
10.3,131,Drama,3,Loved every second.,Positive
19.49,106,Comedy,8,"It was fine, but a bit too long.",Neutral
23.41,140,Sci-Fi,5,Average popcorn flick.,Neutral
18.43,113,Comedy,7,Great acting and incredible plot.,Positive
23.23,145,Sci-Fi,10,Masterpiece of cinema.,Positive
15.56,164,Horror,5,Passable weekend watch.,Neutral
24.8,112,Drama,9,"Not great, not terrible.",Neutral
18.19,121,Horror,10,Worst movie I have ever seen in my life.,Negative
19.04,81,Sci-Fi,6,A triumphant achievement.,Positive
12.71,149,Horror,1,Absolutely awful script.,Negative
13.73,108,Horror,3,Worst movie I have ever seen in my life.,Negative
21.81,177,Sci-Fi,3,Terrible waste of time.,Negative
17.6,84,Action,6,Absolutely awful script.,Negative
13.96,151,Comedy,8,Loved every second.,Positive
20.09,165,Drama,10,Loved every second.,Positive
13.14,124,Sci-Fi,2,Boring and predictable garbage.,Negative
15.27,124,Sci-Fi,1,A triumphant achievement.,Positive
18.95,142,Horror,6,Loved every second.,Positive
13.75,92,Drama,10,Absolutely fantastic movie! Best I have seen.,Positive
10.38,151,Horror,1,Loved every second.,Positive
22.78,126,Sci-Fi,7,Absolutely fantastic movie! Best I have seen.,Positive
14.0,164,Drama,3,Worst movie I have ever seen in my life.,Negative
13.14,115,Comedy,1,"It was fine, but a bit too long.",Neutral
18.95,157,Action,2,Great acting and incredible plot.,Positive
13.73,172,Action,4,Average popcorn flick.,Neutral
16.22,125,Drama,5,Boring and predictable garbage.,Negative
19.79,83,Action,4,Boring and predictable garbage.,Negative
10.02,80,Sci-Fi,6,Great acting and incredible plot.,Positive
21.41,126,Action,9,"It was fine, but a bit too long.",Neutral
13.82,155,Comedy,3,"Not great, not terrible.",Neutral
24.7,138,Comedy,1,"Not great, not terrible.",Neutral
12.78,97,Horror,3,Boring and predictable garbage.,Negative
21.13,156,Comedy,3,Terrible waste of time.,Negative
14.36,140,Comedy,5,Absolutely fantastic movie! Best I have seen.,Positive
22.19,83,Comedy,8,Boring and predictable garbage.,Negative
11.83,147,Drama,2,Great acting and incredible plot.,Positive
17.95,104,Action,8,Terrible waste of time.,Negative
16.07,151,Drama,10,Average popcorn flick.,Neutral
10.52,157,Sci-Fi,8,Absolutely fantastic movie! Best I have seen.,Positive
13.26,117,Sci-Fi,5,Absolutely fantastic movie! Best I have seen.,Positive
23.53,103,Horror,3,Passable weekend watch.,Neutral
13.22,162,Action,6,Absolutely awful script.,Negative
14.08,84,Action,8,Boring and predictable garbage.,Negative
19.91,161,Sci-Fi,1,Terrible waste of time.,Negative
15.89,128,Action,7,Masterpiece of cinema.,Positive
12.78,173,Action,5,A triumphant achievement.,Positive
23.35,163,Drama,4,Great acting and incredible plot.,Positive
24.02,110,Horror,7,"Not great, not terrible.",Neutral
10.82,88,Horror,1,Absolutely awful script.,Negative
20.21,132,Horror,2,Worst movie I have ever seen in my life.,Negative
19.78,124,Horror,5,Fell asleep halfway through.,Negative
24.4,123,Action,7,Boring and predictable garbage.,Negative
12.14,152,Drama,6,Absolutely fantastic movie! Best I have seen.,Positive
20.01,119,Sci-Fi,3,Terrible waste of time.,Negative
18.89,94,Drama,2,Terrible waste of time.,Negative
19.28,125,Sci-Fi,9,Worst movie I have ever seen in my life.,Negative
11.28,123,Comedy,4,"It was okay, nothing special.",Neutral
15.34,82,Sci-Fi,9,Fell asleep halfway through.,Negative
10.99,169,Action,4,Masterpiece of cinema.,Positive
10.34,102,Comedy,6,Boring and predictable garbage.,Negative
12.12,157,Horror,9,A triumphant achievement.,Positive
15.36,92,Sci-Fi,4,Passable weekend watch.,Neutral
23.15,104,Horror,4,Masterpiece of cinema.,Positive
10.05,159,Sci-Fi,4,Passable weekend watch.,Neutral
16.45,161,Horror,6,Loved every second.,Positive
24.0,112,Sci-Fi,4,A triumphant achievement.,Positive
12.89,179,Horror,6,"It was fine, but a bit too long.",Neutral
19.42,134,Comedy,2,Worst movie I have ever seen in my life.,Negative
12.91,154,Horror,7,Great acting and incredible plot.,Positive
23.58,154,Horror,1,"Not great, not terrible.",Neutral
21.49,117,Drama,2,Average popcorn flick.,Neutral
12.24,94,Action,9,Worst movie I have ever seen in my life.,Negative
18.45,174,Sci-Fi,9,Absolutely fantastic movie! Best I have seen.,Positive
20.68,106,Sci-Fi,10,Absolutely awful script.,Negative
16.78,100,Horror,8,Fell asleep halfway through.,Negative
12.5,138,Drama,4,"It was fine, but a bit too long.",Neutral
13.6,124,Sci-Fi,4,Loved every second.,Positive
21.73,87,Comedy,6,Boring and predictable garbage.,Negative
18.15,173,Comedy,5,"It was okay, nothing special.",Neutral
10.55,174,Horror,3,Worst movie I have ever seen in my life.,Negative
18.11,91,Horror,8,Worst movie I have ever seen in my life.,Negative
20.93,108,Sci-Fi,10,"Not great, not terrible.",Neutral
13.46,91,Comedy,5,Passable weekend watch.,Neutral
19.65,130,Comedy,2,Absolutely fantastic movie! Best I have seen.,Positive
20.39,86,Horror,10,"It was okay, nothing special.",Neutral
17.86,161,Action,6,Worst movie I have ever seen in my life.,Negative
13.36,92,Action,5,Average popcorn flick.,Neutral
14.16,160,Sci-Fi,1,Fell asleep halfway through.,Negative
18.87,141,Horror,4,Fell asleep halfway through.,Negative
22.53,137,Sci-Fi,2,Fell asleep halfway through.,Negative
17.5,171,Action,7,Boring and predictable garbage.,Negative
22.84,118,Horror,2,Fell asleep halfway through.,Negative
10.34,120,Horror,10,Passable weekend watch.,Neutral
19.68,169,Horror,5,"Not great, not terrible.",Neutral
10.44,129,Horror,5,Passable weekend watch.,Neutral
14.72,87,Drama,5,A triumphant achievement.,Positive
15.78,139,Comedy,6,"It was fine, but a bit too long.",Neutral
22.97,143,Comedy,9,"It was fine, but a bit too long.",Neutral
24.56,96,Horror,9,A triumphant achievement.,Positive
21.85,128,Sci-Fi,3,Masterpiece of cinema.,Positive
12.83,140,Sci-Fi,1,Boring and predictable garbage.,Negative
18.29,176,Drama,7,Worst movie I have ever seen in my life.,Negative
15.01,162,Action,2,"It was fine, but a bit too long.",Neutral
19.22,129,Action,1,Worst movie I have ever seen in my life.,Negative
24.83,98,Drama,6,Masterpiece of cinema.,Positive
24.5,148,Comedy,2,Absolutely awful script.,Negative
16.86,126,Horror,3,Worst movie I have ever seen in my life.,Negative
20.76,100,Sci-Fi,2,Average popcorn flick.,Neutral
12.2,174,Action,9,Average popcorn flick.,Neutral
24.31,105,Sci-Fi,10,Absolutely awful script.,Negative
14.68,144,Sci-Fi,5,"Not great, not terrible.",Neutral
10.51,107,Drama,4,Masterpiece of cinema.,Positive
22.65,111,Horror,7,Great acting and incredible plot.,Positive
11.66,94,Horror,1,A triumphant achievement.,Positive
21.07,90,Action,4,Great acting and incredible plot.,Positive
17.96,81,Action,6,Boring and predictable garbage.,Negative
13.71,123,Sci-Fi,4,"It was okay, nothing special.",Neutral
14.14,120,Sci-Fi,4,Absolutely fantastic movie! Best I have seen.,Positive
10.66,160,Sci-Fi,3,Absolutely awful script.,Negative
21.87,161,Horror,6,A triumphant achievement.,Positive
12.23,80,Action,6,A triumphant achievement.,Positive
10.36,90,Horror,5,Terrible waste of time.,Negative
15.08,110,Drama,10,"It was fine, but a bit too long.",Neutral
13.96,151,Comedy,9,Passable weekend watch.,Neutral
17.8,152,Horror,6,Terrible waste of time.,Negative
17.91,167,Sci-Fi,10,Boring and predictable garbage.,Negative
10.17,87,Comedy,8,Average popcorn flick.,Neutral
22.59,107,Action,4,Masterpiece of cinema.,Positive
18.56,176,Sci-Fi,2,Absolutely awful script.,Negative
22.35,152,Action,5,Boring and predictable garbage.,Negative
14.83,176,Horror,10,Loved every second.,Positive
23.24,150,Comedy,5,Average popcorn flick.,Neutral
20.47,156,Horror,2,"It was fine, but a bit too long.",Neutral
11.82,107,Drama,1,Great acting and incredible plot.,Positive
23.73,90,Sci-Fi,2,Terrible waste of time.,Negative
20.38,117,Comedy,2,Boring and predictable garbage.,Negative
19.88,81,Horror,8,Masterpiece of cinema.,Positive
19.66,98,Action,6,Terrible waste of time.,Negative
